City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,colonia,50.9333,6.95,57.96,78,0,6.91,DE,1695606271
129,naze,28.3667,129.4833,76.12,81,26,10.6,JP,1695606282
130,lebu,-37.6167,-73.65,45.77,83,0,7.72,CL,1695606263
131,carnarvon,-24.8667,113.6333,69.82,66,57,23.4,AU,1695606291
132,san luis de la loma,17.2706,-100.8939,82.98,85,46,3.44,MX,1695606419
133,petropavlovsk-kamchatsky,53.0452,158.6483,57.78,51,75,8.95,RU,1695606062
134,tatsinskiy,48.1968,41.2756,59.0,51,0,9.1,RU,1695606419
135,alice springs,-23.7,133.8833,81.95,13,4,14.97,AU,1695606144
136,stanley,54.868,-1.6985,57.27,86,55,17.87,GB,1695606291
137,sampit,-2.5333,112.95,89.17,52,72,4.32,ID,1695606420
138,minas de marcona,-15.2119,-75.1103,57.27,84,63,12.17,PE,1695606313
139,georgetown,5.4112,100.3354,83.01,94,40,4.61,MY,1695605862
140,bethel,41.3712,-73.414,61.2,88,100,10.36,US,1695606263
141,boa vista,2.8197,-60.6733,80.58,78,75,2.3,BR,1695606233
142,salinopolis,-0.6136,-47.3561,80.73,76,0,13.69,BR,1695606420
143,levuka,50.1834,-105.4011,62.31,48,100,4.76,CA,1695606420
144,bela,25.9333,81.9833,77.68,89,71,5.03,IN,1695606420
145,bidar,17.9,77.55,72.21,93,100,5.57,IN,1695606420
146,west island,-12.1568,96.8225,78.78,78,100,12.66,CC,1695606289
147,crane,31.3974,-102.3501,89.92,21,0,5.95,US,1695606274
148,callao,-12.0667,-77.15,67.71,77,100,9.22,PE,1695606283
149,klyuchi,52.2667,79.1667,48.11,81,98,7.34,RU,1695606297
150,neftcala,39.3742,49.2472,70.39,62,61,4.63,AZ,1695606421
151,vorkuta,67.5,64.0,47.57,89,100,8.3,RU,1695606310
152,shalkar,47.8288,59.6258,56.26,42,88,8.03,KZ,1695606421
153,alofi,-19.0595,-169.9187,78.69,53,98,18.41,NU,1695606263
154,thompson,55.7435,-97.8558,62.76,82,100,2.3,CA,1695605996
155,geraldton,-28.7667,114.6,66.61,72,100,19.57,AU,1695605869
156,guajara,-2.9667,-57.6667,86.74,41,82,1.07,BR,1695606422
157,darnah,32.767,22.6367,76.73,71,1,10.63,LY,1695606422
158,huangyan,28.6478,121.2594,85.37,73,37,2.68,CN,1695606422
159,weno,7.4515,151.8468,89.55,79,100,8.05,FM,1695606278
160,lukoyanov,55.0277,44.4786,54.86,57,6,9.37,RU,1695606422
161,nobres,-14.7203,-56.3275,88.3,26,47,3.49,BR,1695606422
162,cidreira,-30.1811,-50.2056,63.36,90,100,7.36,BR,1695606327
163,bubaque,11.2833,-15.8333,82.54,77,45,8.34,GW,1695606423
164,tshikapa,-6.4167,20.8,74.14,77,100,1.74,CD,1695606423
165,remire-montjoly,4.9167,-52.2667,77.04,94,20,0.0,GF,1695606318
166,utrik,11.2278,169.8474,83.53,78,84,21.94,MH,1695606268
167,tefe,-3.3542,-64.7114,80.08,60,8,2.1,BR,1695606423
168,margaret river,-33.95,115.0667,59.92,55,13,7.34,AU,1695606270
169,kodiak,57.79,-152.4072,53.11,50,75,5.75,US,1695606281
170,port blair,11.6667,92.75,77.04,94,75,6.91,IN,1695606423
171,collie,-33.3667,116.15,63.32,57,0,6.08,AU,1695606424
172,yeppoon,-23.1333,150.7333,74.98,55,69,15.28,AU,1695606424
173,marovoay,-16.1,46.6333,68.49,65,0,4.65,MG,1695606424
174,los aquijes,-14.0967,-75.6908,72.18,61,99,1.05,PE,1695606424
175,buinsk,54.95,48.2833,57.33,46,0,6.98,RU,1695606424
176,tazovsky,67.4667,78.7,45.3,95,100,20.51,RU,1695606266
177,quellon,-43.1167,-73.6167,39.63,82,58,4.61,CL,1695606326
178,severo-yeniseyskiy,60.3725,93.0408,32.85,78,62,3.2,RU,1695606425
179,chibougamau,49.9168,-74.3659,53.22,76,0,6.91,CA,1695606306
180,ismailia,30.6043,32.2723,69.73,80,0,1.1,EG,1695606425
181,kirakira,-10.4544,161.9205,85.03,61,100,14.7,SB,1695606277
182,pauini,-7.7136,-66.9764,79.27,64,19,2.62,BR,1695606313
183,laguna,38.421,-121.4238,76.75,47,0,8.05,US,1695606425
184,at taj,24.2049,23.2857,73.87,26,0,6.67,LY,1695606425
185,harper,4.375,-7.7169,75.54,91,100,3.69,LR,1695606327
186,cumana,10.4635,-64.1775,81.59,82,74,6.2,VE,1695606425
187,keflavik,64.0049,-22.5624,49.91,81,75,14.97,IS,1695606310
188,macapa,0.0389,-51.0664,84.18,74,20,9.22,BR,1695606426
189,cheremukhovo,60.3484,59.9851,51.21,80,4,5.14,RU,1695606426
190,corowa,-36.0333,146.3833,66.58,54,100,7.47,AU,1695606426
191,la passe,45.5549,-0.8967,52.03,61,0,3.33,FR,1695606426
192,singkil,-7.9855,111.4161,85.78,51,23,8.37,ID,1695606426
193,el haouaria,37.05,11.0144,69.82,63,0,12.66,TN,1695606427
194,alzamay,55.5562,98.6644,38.62,95,100,3.69,RU,1695606427
195,ust-tsilma,65.441,52.1498,52.99,96,100,3.69,RU,1695606427
196,oras,12.1406,125.4397,83.5,81,88,6.31,PH,1695606427
197,umluj,25.0213,37.2685,86.11,57,13,9.1,SA,1695606427
198,san nicolas de los arroyos,-33.3358,-60.2252,58.05,61,100,7.2,AR,1695606427
199,rio grande,-32.035,-52.0986,54.95,80,100,11.14,BR,1695606264
200,kiunga,-6.1219,141.2906,73.69,97,100,3.09,PG,1695606427
201,wakkanai,45.4094,141.6739,70.09,71,75,12.66,JP,1695606428
202,ilulissat,69.2167,-51.1,32.02,47,100,6.91,GL,1695606230
203,mendoza,-32.8908,-68.8272,60.33,59,20,8.05,AR,1695606134
204,roccella ionica,38.322,16.4009,66.22,74,2,4.76,IT,1695606428
205,aykhal,66.0,111.5,50.97,72,35,10.76,RU,1695606428
206,conde,-7.2597,-34.9075,76.46,88,40,6.91,BR,1695606428
207,dunedin,-45.8742,170.5036,50.07,62,3,15.37,NZ,1695606378
208,moose jaw,50.4001,-105.5344,62.85,63,100,8.05,CA,1695606428
209,badger,64.8,-147.5333,50.25,56,0,3.44,US,1695606261
210,yulinshi,38.2906,109.7494,59.67,73,100,6.17,CN,1695606428
211,namibe,-15.1961,12.1522,61.56,82,4,3.91,AO,1695606429
212,gorontalo,0.5412,123.0595,88.45,48,100,9.53,ID,1695606429
213,vorgashor,67.5833,63.95,46.53,88,100,8.61,RU,1695606294
214,nuuk,64.1835,-51.7216,34.41,80,97,6.91,GL,1695606326
215,kinarut,5.8231,116.0466,82.42,78,20,4.61,MY,1695606429
216,mostovskoy,44.4122,40.7936,55.29,88,0,3.62,RU,1695606429
217,shache,38.4167,77.2406,61.72,19,100,4.18,CN,1695606429
218,arkalyk,50.2486,66.9114,53.4,56,5,6.82,KZ,1695606429
219,gebeit,21.0667,36.3167,83.61,27,5,4.68,SD,1695606288
220,sitka,57.0531,-135.33,53.49,82,100,0.0,US,1695606308
221,le lavandou,43.137,6.366,64.76,67,0,4.61,FR,1695606430
222,ciudad lazaro cardenas,17.9583,-102.2,83.77,84,3,5.48,MX,1695606283
223,el fasher,13.6279,25.3494,84.56,23,64,3.04,SD,1695606430
224,kailua-kona,19.6406,-155.9956,82.36,80,75,11.5,US,1695606287
225,cockburn town,21.4612,-71.1419,84.65,80,100,19.53,TC,1695606430
226,constantia,44.1833,28.65,65.08,83,5,11.83,RO,1695606284
227,cooper's town,26.8667,-77.5167,82.87,74,82,11.1,BS,1695606430
228,praia da vitoria,38.7333,-27.0667,70.75,73,20,8.34,PT,1695606290
229,adrar,20.5022,-10.0711,89.47,18,1,10.89,MR,1695606430
230,necochea,-38.5473,-58.7368,41.05,72,8,1.43,AR,1695606431
231,bredasdorp,-34.5322,20.0403,53.31,95,12,5.06,ZA,1695606269
232,qaqortoq,60.7167,-46.0333,34.97,58,8,3.58,GL,1695606272
233,myski,53.709,87.8014,37.65,93,100,4.65,RU,1695606431
234,pokhara,28.2333,83.9833,71.19,91,99,0.63,NP,1695606431
235,lihue,21.9789,-159.3672,85.24,66,40,14.97,US,1695606268
236,ad darb,17.7229,42.2526,87.69,75,53,2.71,SA,1695606431
237,nova vicosa,-17.8919,-39.3719,75.96,85,10,15.19,BR,1695606229
238,axim,4.8699,-2.2405,75.96,92,85,7.65,GH,1695606431
239,pahrump,36.2083,-115.9839,86.05,20,0,1.99,US,1695606432
240,howard springs,-12.497,131.047,89.82,36,15,4.65,AU,1695606300
241,san ignacio,17.1561,-89.0714,82.54,78,0,0.0,BZ,1695606432
242,turkmenbasy,40.0222,52.9552,66.97,27,0,13.8,TM,1695606350
243,mount gambier,-37.8333,140.7667,61.23,70,74,11.14,AU,1695606269
244,pechora,65.1472,57.2244,55.56,95,100,4.32,RU,1695606432
245,gazli,40.1333,63.45,63.19,45,0,10.54,UZ,1695606432
246,sassandra,4.95,-6.0833,73.22,96,95,3.87,CI,1695606432
247,novaya igirma,57.1334,103.9112,43.61,61,100,6.4,RU,1695606432
248,antofagasta,-23.65,-70.4,61.88,84,65,6.73,CL,1695606305
249,esfarayen,37.0765,57.5101,46.06,30,4,3.53,IR,1695606433
250,lusambo,-4.9667,23.45,69.8,98,100,1.81,CD,1695606433
251,iskateley,67.6803,53.1512,43.93,90,100,6.58,RU,1695606264
252,horta,38.5333,-28.6333,71.02,67,100,15.99,PT,1695606282
253,tura,25.5198,90.2201,73.94,97,98,1.28,IN,1695606266
254,kingston,17.997,-76.7936,85.15,78,20,6.91,JM,1695606295
255,ust'-charyshskaya pristan',52.3934,83.6635,42.12,91,100,13.09,RU,1695606433
256,pajapan,18.25,-94.7,77.34,87,70,5.93,MX,1695606433
257,haiku-pauwela,20.9219,-156.3051,84.22,65,20,24.16,US,1695606266
258,twon-brass,4.3151,6.2418,78.46,84,88,4.5,NG,1695606433
259,trinidad,-14.8333,-64.9,86.34,31,2,4.85,BO,1695606434
260,sisimiut,66.9395,-53.6735,35.38,47,100,4.72,GL,1695606314
261,murray bridge,-35.1167,139.2667,65.34,55,72,13.85,AU,1695606434
